"ID"	"START_DATE"	"END_DATE"
106	21-FEB-22	31-DEC-22
106	01-JAN-23	31-DEC-23
106	01-JAN-24	31-DEC-24
106	01-JAN-25	15-MAY-25
107	19-JUN-23	31-DEC-23
107	01-JAN-24	26-APR-24
108	24-AUG-18	31-DEC-18
108	01-JAN-19	31-DEC-19
108	01-JAN-20	31-DEC-20
108	01-JAN-21	31-DEC-21
108	01-JAN-22	31-DEC-22
108	01-JAN-23	31-DEC-23
108	01-JAN-24	27-MAR-24
109	16-APR-02	31-DEC-02
109	01-JAN-03	31-DEC-03
109	01-JAN-04	31-DEC-04
109	01-JAN-05	31-DEC-05
109	01-JAN-06	31-DEC-06
109	01-JAN-07	31-DEC-07
109	01-JAN-08	31-DEC-08
109	01-JAN-09	31-DEC-09
109	01-JAN-10	31-DEC-10
109	01-JAN-11	31-DEC-11
109	01-JAN-12	31-DEC-12
109	01-JAN-13	31-DEC-13
109	01-JAN-14	31-DEC-14
109	01-JAN-15	13-JUN-15
110	26-MAY-24	13-JUN-24
